store,Tesco,Sains,Asda,Morri,Aldi,Coop,Wait,Lidl,Other,Iceland
Tesco,-0.000261131,-0.000263615,-0.000767489,0.000865447,0.000973085,-0.0007256,0.003765107,-0.001468199,-0.000473384,-0.006263097
Sains,-0.000448127,-0.001587244,-0.00163845,0.002267011,-0.002875188,-0.00086675,0.004609827,0.002230098,-0.001908067,-0.005072557
Asda,-0.002165193,-0.000440709,0,-0.004276206,-0.004938346,0.001771555,-0.010461319,0.003274761,-0.003916167,0.01965198
Morri,-0.000888101,-0.00440019,-0.003206023,0,-0.005787586,-0.004698994,-0.001789189,0.002432293,-0.000394209,-0.004057076
Aldi,-0.004021085,-5.68E-05,-0.002183075,-0.006691559,-0.003725332,-0.004566359,-0.015140104,-0.002665002,0.00047719,0.009361273
Coop,-0.002716247,-0.009880499,-0.006321051,-0.003038021,-0.001599051,-0.010493647,-0.013503739,-0.010646605,0.001534814,-0.0146291
Wait,-0.002735017,-0.00039006,0.003208017,-0.001947318,-0.002786606,0.004309099,-0.00205074,0.004003674,-0.001281961,0.018241281
Lidl,-0.007862654,-0.005724647,-0.003725139,-0.010182607,-0.002892208,-0.00656507,-0.01165742,-0.010539184,-0.004520211,0.001449085
Other,-0.005244326,-0.006065601,0.001642421,-0.005969264,-0.014443858,-0.006870365,-0.013650285,0.011698712,0,0.028473417
Iceland,0.000413682,0.004860985,-0.003120028,0.00087073,-0.00455283,0.003916378,-0.013320081,0.005930274,-0.001888977,0
