time ,GDP,income
1955 Q1,4727,3069
1955 Q2,4751,3338
1955 Q3,4922,3335
1955 Q4,5016,3442
1956 Q1,5141,3328
1956 Q2,5214,3579
1956 Q3,5300,3559
1956 Q4,5432,3696
1957 Q1,5440,3499
1957 Q2,5522,3760
1957 Q3,5638,3734
1957 Q4,5765,3907
1958 Q1,5863,3732
1958 Q2,5789,3941
1958 Q3,5898,3910
1958 Q4,5950,4042
1959 Q1,5956,3899
1959 Q2,6153,4212
1959 Q3,6165,4172
1959 Q4,6380,4340
1960 Q1,6486,4168
1960 Q2,6550,4541
1960 Q3,6647,4516
1960 Q4,6793,4714
1961 Q1,6952,4503
1961 Q2,6927,4822
1961 Q3,7166,4937
1961 Q4,7097,5005
1962 Q1,7184,4744
1962 Q2,7358,5065
1962 Q3,7437,5136
1962 Q4,7481,5304
1963 Q1,7423,4977
1963 Q2,7803,5316
1963 Q3,7923,5475
1963 Q4,8175,5661
1964 Q1,8194,5442
1964 Q2,8474,5750
1964 Q3,8661,5889
1964 Q4,8908,6145
1965 Q1,9071,5936
1965 Q2,9116,6213
1965 Q3,9335,6286
1965 Q4,9514,6554
1966 Q1,9652,6616
1966 Q2,9815,6573
1966 Q3,9999,6576
1966 Q4,10107,6857
1967 Q1,10214,6621
1967 Q2,10466,6913
1967 Q3,10534,7062
1967 Q4,10687,7226
1968 Q1,11161,7246
1968 Q2,11282,7464
1968 Q3,11635,7403
1968 Q4,11930,7679
1969 Q1,12132,7755
1969 Q2,12305,7939
1969 Q3,12565,7937
1969 Q4,12907,8297
1970 Q1,13250,8258
1970 Q2,13832,8778
1970 Q3,14288,8899
1970 Q4,14807,9361
1971 Q1,15019,9076
1971 Q2,15516,9718
1971 Q3,16005,9865
1971 Q4,16408,10339
1972 Q1,16622,10267
1972 Q2,17403,11338
1972 Q3,17777,11388
1972 Q4,18861,12245
1973 Q1,20077,12131
1973 Q2,19893,13082
1973 Q3,20587,13382
1973 Q4,21338,14054
1974 Q1,21167,14105
1974 Q2,22659,14886
1974 Q3,23907,16038
1974 Q4,25010,16838
1975 Q1,26839,18058
1975 Q2,28141,18871
1975 Q3,29279,19761
1975 Q4,30917,20311
1976 Q1,32456,21152
1976 Q2,33307,21788
1976 Q3,34522,23180
1976 Q4,36664,23343
1977 Q1,38010,23547
1977 Q2,39228,24778
1977 Q3,40324,25709
1977 Q4,42139,27049
1978 Q1,44106,27597
1978 Q2,45848,29334
1978 Q3,47147,30491
1978 Q4,48867,31670
1979 Q1,50437,32435
1979 Q2,53928,34454
1979 Q3,56724,36616
1979 Q4,59756,40031
1980 Q1,62111,40025
1980 Q2,63698,41965
1980 Q3,66009,43687
1980 Q4,68144,44901
1981 Q1,69926,46132
1981 Q2,71254,47217
1981 Q3,73204,48049
1981 Q4,75515,49483
1982 Q1,77425,50531
1982 Q2,78887,51810
1982 Q3,80339,52675
1982 Q4,82559,53627
1983 Q1,85602,53965
1983 Q2,86341,56872
1983 Q3,88455,57125
1983 Q4,90711,58424
1984 Q1,91534,59236
1984 Q2,93384,60717
1984 Q3,94693,62317
1984 Q4,97966,64777
1985 Q1,98864,64597
1985 Q2,103354,67104
1985 Q3,104937,67829
1985 Q4,107174,69259
1986 Q1,108610,70361
1986 Q2,110274,73854
1986 Q3,112067,73391
1986 Q4,115462,74597
1987 Q1,118018,73736
1987 Q2,121692,78878
1987 Q3,126568,79686
1987 Q4,129256,79653
1988 Q1,133077,82098
1988 Q2,135906,87370
1988 Q3,140584,88116
1988 Q4,145329,87918
1989 Q1,148383,90688
1989 Q2,151034,95748
1989 Q3,155249,99078
1989 Q4,158715,98316
1990 Q1,161828,102432
1990 Q2,166291,106455
1990 Q3,169415,109358
1990 Q4,169901,111055
1991 Q1,172952,113703
1991 Q2,175015,116141
1991 Q3,176604,119926
1991 Q4,179157,120345
1992 Q1,180716,122158
1992 Q2,181104,125992
1992 Q3,181578,126432
1992 Q4,184567,127757
1993 Q1,188951,127656
1993 Q2,189422,134292
1993 Q3,192843,134720
1993 Q4,195192,136533
1994 Q1,198121,135148
1994 Q2,199863,138144
1994 Q3,202107,139087
1994 Q4,206329,140263
1995 Q1,207126,141969
1995 Q2,209691,146486
1995 Q3,213540,147361
1995 Q4,216179,149552
1996 Q1,220343,150796
1996 Q2,224990,157455
1996 Q3,227942,156994
1996 Q4,230157,156691
1997 Q1,232522,156320
1997 Q2,235047,166176
1997 Q3,241681,164449
1997 Q4,239703,166722
1998 Q1,243101,159274
1998 Q2,245460,172913
1998 Q3,247837,169979
1998 Q4,254840,175979
1999 Q1,256367,162243
1999 Q2,254699,180938
1999 Q3,257982,175524
1999 Q4,262110,185862
2000 Q1,268202,177073
2000 Q2,271872,191527
2000 Q3,274115,188979
2000 Q4,275152,197754
2001 Q1,277539,187541
2001 Q2,282538,199506
2001 Q3,283440,195745
2001 Q4,285926,204862
2002 Q1,289508,194286
2002 Q2,293118,209213
2002 Q3,297553,202353
2002 Q4,302777,211551
2003 Q1,307147,199744
2003 Q2,309831,213302
2003 Q3,314554,209282
2003 Q4,320315,221054
2004 Q1,322812,208307
2004 Q2,328188,223821
2004 Q3,329468,219959
2004 Q4,332386,228275
2005 Q1,336947,216329
2005 Q2,345621,233554
2005 Q3,348944,229242
2005 Q4,357241,240492
2006 Q1,360867,228190
2006 Q2,364503,244058
2006 Q3,368529,240182
2006 Q4,372003,251116
2007 Q1,377827,241927
2007 Q2,381615,255751
2007 Q3,388524,251065
2007 Q4,393476,263073
2008 Q1,399035,248795
2008 Q2,397075,267187
2008 Q3,394626,259727
2008 Q4,389060,272905
2009 Q1,382864,252372
2009 Q2,382457,276411
2009 Q3,385469,267451
