time,transport,recreation,housing,otheritems,food,restaurants,services,households,clothing,communication,alcohol,health,education
2002,88,54.4,64.1,76.7,59,52.3,42.9,36.3,15.6,12,19.9,6.8,17.9
2003,88.6,55.9,64.3,73.2,60.5,53.7,45.2,36.1,16.3,12.2,19.6,7,15.8
2004,88.3,57.6,66.7,74.8,60.5,51.3,44.6,37.5,17.2,12.8,19.8,7.1,14.9
2005,83.7,60,66.2,77,61.9,51.5,44.4,38,19,13.6,18.7,6.9,17.7
2006,80.5,59.9,67.9,76.8,61.7,50.7,42.2,36.2,19.8,13.7,17.5,7.7,17
2007,79.3,60.2,70.5,72.5,61.4,48.5,40.9,36.5,19.8,14.5,17.1,7.3,14.6
2008,77.2,63.4,66.5,75.9,59.3,47.3,40.1,35.1,20.7,15,15.9,6.4,11.9
2009,70.5,60.4,68.9,78.4,57.9,47,38.7,31.5,21.8,14.5,15.8,6.4,12.5
2010,72.3,59.5,72.3,72.2,57.1,46.8,38.7,34.4,24.6,15.4,15.8,5.9,17
2011,68,65.4,71.9,72.8,55.8,45.2,40.6,28.5,22.3,15.1,14.7,7.5,11.3
2012,64.8,62.8,73.5,70.1,56,44.8,39.6,29,23.9,15.1,14.6,7,10
2013,70.5,64.6,77.3,73.6,55.9,43.5,40,33.5,22.8,15.3,13.1,6.7,11.1
2014,74.6,68.9,73.3,70,55.9,44.7,40.8,35.5,23.9,16.2,12.8,7.4,11.2
2015,73.6,69.5,73.3,66.8,55.9,44.5,41.3,36.7,23.7,16.2,12.4,7.3,10.1
2016,74.3,68.5,72.7,73.3,55.9,46.4,40.2,35.5,23.5,16.4,11.6,7.4,7.4
2017,79.7,73.5,72.6,72,58,50.1,41.8,39.3,25.1,17.2,11.9,7.3,5.7
2018,80.8,74.6,76.1,76.4,60.6,49.6,43.5,40.7,24.3,17.9,12.4,6.9,8.7
