Household spending by category and year (£'s per week),,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018
,Transport,88,16%,88.6,16%,88.3,16%,83.7,15%,80.5,15%,79.3,15%,77.2,14%,70.5,13%,72.3,14%,68,13%,64.8,13%,70.5,13%,74.6,14%,73.6,14%,74.3,14%,79.7,14%,80.8,14%
,Recreation and culture,54.4,10%,55.9,10%,57.6,10%,60,11%,59.9,11%,60.2,11%,63.4,12%,60.4,12%,59.5,11%,65.4,13%,62.8,12%,64.6,12%,68.9,13%,69.5,13%,68.5,13%,73.5,13%,74.6,13%
,"Housing (net), fuel and power",64.1,12%,64.3,12%,66.7,12%,66.2,12%,67.9,12%,70.5,13%,66.5,12%,68.9,13%,72.3,14%,71.9,14%,73.5,14%,77.3,15%,73.3,14%,73.3,14%,72.7,14%,72.6,13%,76.1,13%
,Other expenditure items,76.7,14%,73.2,13%,74.8,14%,77,14%,76.8,14%,72.5,13%,75.9,14%,78.4,15%,72.2,14%,72.8,14%,70.1,14%,73.6,14%,70,13%,66.8,13%,73.3,14%,72,13%,76.4,13%
,Food and non-alcoholic drinks,59,11%,60.5,11%,60.5,11%,61.9,11%,61.7,11%,61.4,11%,59.3,11%,57.9,11%,57.1,11%,55.8,11%,56,11%,55.9,11%,55.9,10%,55.9,11%,55.9,10%,58,10%,60.6,11%
,Restaurants and hotels,52.3,10%,53.7,10%,51.3,9%,51.5,9%,50.7,9%,48.5,9%,47.3,9%,47,9%,46.8,9%,45.2,9%,44.8,9%,43.5,8%,44.7,8%,44.5,8%,46.4,9%,50.1,9%,49.6,9%
,Miscellaneous goods and services,42.9,8%,45.2,8%,44.6,8%,44.4,8%,42.2,8%,40.9,8%,40.1,7%,38.7,7%,38.7,7%,40.6,8%,39.6,8%,40,8%,40.8,8%,41.3,8%,40.2,8%,41.8,8%,43.5,8%
,Household goods and services,36.3,7%,36.1,7%,37.5,7%,38,7%,36.2,7%,36.5,7%,35.1,7%,31.5,6%,34.4,6%,28.5,5%,29,6%,33.5,6%,35.5,7%,36.7,7%,35.5,7%,39.3,7%,40.7,7%
,Clothing and footwear,15.6,3%,16.3,3%,17.2,3%,19,3%,19.8,4%,19.8,4%,20.7,4%,21.8,4%,24.6,5%,22.3,4%,23.9,5%,22.8,4%,23.9,4%,23.7,4%,23.5,4%,25.1,5%,24.3,4%
,Communication,12,2%,12.2,2%,12.8,2%,13.6,2%,13.7,2%,14.5,3%,15,3%,14.5,3%,15.4,3%,15.1,3%,15.1,3%,15.3,3%,16.2,3%,16.2,3%,16.4,3%,17.2,3%,17.9,3%
,"Alcoholic drinks, tobacco and narcotics",19.9,4%,19.6,4%,19.8,4%,18.7,3%,17.5,3%,17.1,3%,15.9,3%,15.8,3%,15.8,3%,14.7,3%,14.6,3%,13.1,2%,12.8,2%,12.4,2%,11.6,2%,11.9,2%,12.4,2%
,Health,6.8,1%,7,1%,7.1,1%,6.9,1%,7.7,1%,7.3,1%,6.4,1%,6.4,1%,5.9,1%,7.5,1%,7,1%,6.7,1%,7.4,1%,7.3,1%,7.4,1%,7.3,1%,6.9,1%
,Education,17.9,3%,15.8,3%,14.9,3%,17.7,3%,17,3%,14.6,3%,11.9,2%,12.5,2%,17,3%,11.3,2%,10,2%,11.1,2%,11.2,2%,10.1,2%,7.4,1%,5.7,1%,8.7,2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,545.9,,548.4,,553.1,,558.6,,551.6,,543.1,,534.7,,524.3,,532,,519.1,,511.2,,527.9,,535.2,,531.3,,533.1,,554.2,,572.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household spending by category and year (£'s per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,Transport,Recreation and culture,"Housing (net), fuel and power",Other expenditure items,Food and non-alcoholic drinks,Restaurants and hotels,Miscellaneous goods and services,Household goods and services,Clothing and footwear,Communication,"Alcoholic drinks, tobacco and narcotics",Health,Education,,,,,,,,,,,,,,,,,,,,,,
2002,88,54.4,64.1,76.7,59,52.3,42.9,36.3,15.6,12,19.9,6.8,17.9,,,,,,,,,,,,,,,,,,,,,,
2002,16%,10%,12%,14%,11%,10%,8%,7%,3%,2%,4%,1%,3%,,,,,,,,,,,,,,,,,,,,,,
2003,88.6,55.9,64.3,73.2,60.5,53.7,45.2,36.1,16.3,12.2,19.6,7,15.8,,,,,,,,,,,,,,,,,,,,,,
2003,16%,10%,12%,13%,11%,10%,8%,7%,3%,2%,4%,1%,3%,,,,,,,,,,,,,,,,,,,,,,
2004,88.3,57.6,66.7,74.8,60.5,51.3,44.6,37.5,17.2,12.8,19.8,7.1,14.9,,,,,,,,,,,,,,,,,,,,,,
2004,16%,10%,12%,14%,11%,9%,8%,7%,3%,2%,4%,1%,3%,,,,,,,,,,,,,,,,,,,,,,
2005,83.7,60,66.2,77,61.9,51.5,44.4,38,19,13.6,18.7,6.9,17.7,,,,,,,,,,,,,,,,,,,,,,
2005,15%,11%,12%,14%,11%,9%,8%,7%,3%,2%,3%,1%,3%,,,,,,,,,,,,,,,,,,,,,,
2006,80.5,59.9,67.9,76.8,61.7,50.7,42.2,36.2,19.8,13.7,17.5,7.7,17,,,,,,,,,,,,,,,,,,,,,,
2006,15%,11%,12%,14%,11%,9%,8%,7%,4%,2%,3%,1%,3%,,,,,,,,,,,,,,,,,,,,,,
2007,79.3,60.2,70.5,72.5,61.4,48.5,40.9,36.5,19.8,14.5,17.1,7.3,14.6,,,,,,,,,,,,,,,,,,,,,,
2007,15%,11%,13%,13%,11%,9%,8%,7%,4%,3%,3%,1%,3%,,,,,,,,,,,,,,,,,,,,,,
2008,77.2,63.4,66.5,75.9,59.3,47.3,40.1,35.1,20.7,15,15.9,6.4,11.9,,,,,,,,,,,,,,,,,,,,,,
2008,14%,12%,12%,14%,11%,9%,7%,7%,4%,3%,3%,1%,2%,,,,,,,,,,,,,,,,,,,,,,
2009,70.5,60.4,68.9,78.4,57.9,47,38.7,31.5,21.8,14.5,15.8,6.4,12.5,,,,,,,,,,,,,,,,,,,,,,
2009,13%,12%,13%,15%,11%,9%,7%,6%,4%,3%,3%,1%,2%,,,,,,,,,,,,,,,,,,,,,,
2010,72.3,59.5,72.3,72.2,57.1,46.8,38.7,34.4,24.6,15.4,15.8,5.9,17,,,,,,,,,,,,,,,,,,,,,,
2010,14%,11%,14%,14%,11%,9%,7%,6%,5%,3%,3%,1%,3%,,,,,,,,,,,,,,,,,,,,,,
2011,68,65.4,71.9,72.8,55.8,45.2,40.6,28.5,22.3,15.1,14.7,7.5,11.3,,,,,,,,,,,,,,,,,,,,,,
2011,13%,13%,14%,14%,11%,9%,8%,5%,4%,3%,3%,1%,2%,,,,,,,,,,,,,,,,,,,,,,
2012,64.8,62.8,73.5,70.1,56,44.8,39.6,29,23.9,15.1,14.6,7,10,,,,,,,,,,,,,,,,,,,,,,
2012,13%,12%,14%,14%,11%,9%,8%,6%,5%,3%,3%,1%,2%,,,,,,,,,,,,,,,,,,,,,,
2013,70.5,64.6,77.3,73.6,55.9,43.5,40,33.5,22.8,15.3,13.1,6.7,11.1,,,,,,,,,,,,,,,,,,,,,,
2013,13%,12%,15%,14%,11%,8%,8%,6%,4%,3%,2%,1%,2%,,,,,,,,,,,,,,,,,,,,,,
2014,74.6,68.9,73.3,70,55.9,44.7,40.8,35.5,23.9,16.2,12.8,7.4,11.2,,,,,,,,,,,,,,,,,,,,,,
2014,14%,13%,14%,13%,10%,8%,8%,7%,4%,3%,2%,1%,2%,,,,,,,,,,,,,,,,,,,,,,
2015,73.6,69.5,73.3,66.8,55.9,44.5,41.3,36.7,23.7,16.2,12.4,7.3,10.1,,,,,,,,,,,,,,,,,,,,,,
2015,14%,13%,14%,13%,11%,8%,8%,7%,4%,3%,2%,1%,2%,,,,,,,,,,,,,,,,,,,,,,
2016,74.3,68.5,72.7,73.3,55.9,46.4,40.2,35.5,23.5,16.4,11.6,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,
2016,14%,13%,14%,14%,10%,9%,8%,7%,4%,3%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,
2017,79.7,73.5,72.6,72,58,50.1,41.8,39.3,25.1,17.2,11.9,7.3,5.7,,,,,,,,,,,,,,,,,,,,,,
2017,14%,13%,13%,13%,10%,9%,8%,7%,5%,3%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,
2018,80.8,74.6,76.1,76.4,60.6,49.6,43.5,40.7,24.3,17.9,12.4,6.9,8.7,,,,,,,,,,,,,,,,,,,,,,
2018,14%,13%,13%,13%,11%,9%,8%,7%,4%,3%,2%,1%,2%,,,,,,,,,,,,,,,,,,,,,,
