time,tesco,sainsburys,asda,morrisons,aldi,coop,lidl,waitrose,iceland
07/10/2018,27.3,15.4,15.3,10.3,7.6,6.4,5.6,5.2,2.1
04/11/2018,27.5,15.7,15.3,10.3,7.6,6.3,5.5,5.1,2.1
02/12/2018,27.6,16,15,10.5,7.6,6.1,5.6,4.9,2.2
30/12/2018,27.8,16.1,15.2,10.6,7.4,5.9,5.3,5,2.2
27/01/2019,27.7,15.9,15.3,10.6,7.5,5.9,5.3,5.1,2.3
24/02/2019,27.7,15.7,15.4,10.4,7.6,5.9,5.2,5.2,2.2
24/03/2019,27.3,15.3,15.4,10.3,8,6.1,5.6,5,2.1
21/04/2019,27.3,15.4,15.2,10.3,7.9,6.1,5.7,5,2.1
19/05/2019,27.3,15.2,15.2,10.4,8,6.1,5.8,5.1,2.1
16/06/2019,27.3,15.3,14.9,10.4,7.9,6.2,5.7,5,2.1
14/07/2019,27.2,15.3,14.9,10.3,8.1,6.4,5.8,5,2.1
